raw_name,canonical_name,confidence,match_method,entity_type
Open AI,OpenAI,100.0,exact_normalized,STARTUP
"OpenAI, Inc.",OpenAI,100.0,exact_normalized,STARTUP
Anthropic LLC,Anthropic,100.0,exact_normalized,STARTUP
Mistral-AI,Mistral AI,100.0,exact_normalized,STARTUP
Unknown startup,Unknown startup,40.0,below_threshold,STARTUP
OpenAI,OpenAI,100.0,exact_normalized,STARTUP
Anthropic,Anthropic,100.0,exact_normalized,STARTUP
Cohere,Cohere,100.0,exact_normalized,STARTUP
Mistral AI,Mistral AI,100.0,exact_normalized,STARTUP
Hugging Face,Hugging Face,100.0,exact_normalized,STARTUP
Scale AI,Scale AI,100.0,exact_normalized,STARTUP
Perplexity,Perplexity,100.0,exact_normalized,STARTUP
Runway,Runway,100.0,exact_normalized,STARTUP
Character AI,Character AI,100.0,exact_normalized,STARTUP
Stability AI,Stability AI,100.0,exact_normalized,STARTUP
ElevenLabs,ElevenLabs,100.0,exact_normalized,STARTUP
Cursor,Cursor,100.0,exact_normalized,STARTUP
Replit,Replit,100.0,exact_normalized,STARTUP
Databricks,Databricks,100.0,exact_normalized,STARTUP
Snowflake,Snowflake,100.0,exact_normalized,STARTUP
NVIDIA,NVIDIA,100.0,exact_normalized,STARTUP
DeepMind,DeepMind,100.0,exact_normalized,STARTUP
xAI,xAI,100.0,exact_normalized,STARTUP
Adept,Adept,100.0,exact_normalized,STARTUP
Inflection,Inflection,100.0,exact_normalized,STARTUP
Jasper,Jasper,100.0,exact_normalized,STARTUP
Glean,Glean,100.0,exact_normalized,STARTUP
Harvey,Harvey,100.0,exact_normalized,STARTUP
Pika,Pika,100.0,exact_normalized,STARTUP
Suno,Suno,100.0,exact_normalized,STARTUP
Together AI,Together AI,100.0,exact_normalized,STARTUP
Groq,Groq,100.0,exact_normalized,STARTUP
Replicate,Replicate,100.0,exact_normalized,STARTUP
Weights & Biases,Weights & Biases,100.0,exact_normalized,STARTUP
LangChain,LangChain,100.0,exact_normalized,STARTUP
Luma AI,Luma AI,100.0,exact_normalized,STARTUP
Figure AI,Figure AI,100.0,exact_normalized,STARTUP
Anduril,Anduril,100.0,exact_normalized,STARTUP
Wayve,Wayve,100.0,exact_normalized,STARTUP
Abridge,Abridge,100.0,exact_normalized,STARTUP
Insitro,Insitro,100.0,exact_normalized,STARTUP
Nscale,Nscale,100.0,exact_normalized,STARTUP
Vanta,Vanta,100.0,exact_normalized,STARTUP
Pinecone,Pinecone,100.0,exact_normalized,STARTUP
Modal,Modal,100.0,exact_normalized,STARTUP
Baseten,Baseten,100.0,exact_normalized,STARTUP
Writer,Writer,100.0,exact_normalized,STARTUP
Tome,Tome,100.0,exact_normalized,STARTUP
Descript,Descript,100.0,exact_normalized,STARTUP
AssemblyAI,AssemblyAI,100.0,exact_normalized,STARTUP
DeepL,DeepL,100.0,exact_normalized,STARTUP
Sakana AI,Sakana AI,100.0,exact_normalized,STARTUP
Thinking Machines,Thinking Machines,100.0,exact_normalized,STARTUP
Poolside,Poolside,100.0,exact_normalized,STARTUP
Magic,Magic,100.0,exact_normalized,STARTUP
OpenAI Labs 0051,OpenAI Labs 0051,60.0,below_threshold,STARTUP
Anthropic Labs 0052,Anthropic Labs 0052,69.23,below_threshold,STARTUP
Cohere Labs 0053,Cohere Labs 0053,60.0,below_threshold,STARTUP
Mistral AI Labs 0054,Mistral AI Labs 0054,69.23,below_threshold,STARTUP
Hugging Face Labs 0055,Hugging Face,73.33,rapidfuzz_ratio,STARTUP
Scale AI Labs 0056,Scale AI Labs 0056,63.64,below_threshold,STARTUP
Perplexity Labs 0057,Perplexity Labs 0057,71.43,below_threshold,STARTUP
Runway Labs 0058,Runway Labs 0058,60.0,below_threshold,STARTUP
Character AI Labs 0059,Character AI,73.33,rapidfuzz_ratio,STARTUP
Stability AI Labs 0060,Stability AI,73.33,rapidfuzz_ratio,STARTUP
ElevenLabs Labs 0061,ElevenLabs Labs 0061,71.43,below_threshold,STARTUP
Cursor Labs 0062,Cursor Labs 0062,60.0,below_threshold,STARTUP
Replit Labs 0063,Replit Labs 0063,60.0,below_threshold,STARTUP
Databricks Labs 0064,Databricks Labs 0064,71.43,below_threshold,STARTUP
