schemaVersion,recordType,source.name,source.url,content.company,content.date,content.is_remote,content.role_family,content.title,collectedAt
1.0,JOB,LinkedIn AI Jobs,https://www.linkedin.com/jobs/ai-jobs/?job=frontieratlas-0001,OpenAI,2026-09-07T09:05:03.452618Z,True,Engineering,Engineering AI specialist 0001,2026-09-07T09:16:03.452632Z
1.0,JOB,Wellfound AI Jobs,https://wellfound.com/jobs?job=frontieratlas-0002,Anthropic,2026-09-07T08:54:03.452618Z,True,Research,Research AI specialist 0002,2026-09-07T09:16:03.452643Z
1.0,JOB,AI Jobs,https://aijobs.net/?job=frontieratlas-0003,Cohere,2026-09-07T08:43:03.452618Z,False,Product,Product AI specialist 0003,2026-09-07T09:16:03.452650Z
1.0,JOB,Otta AI,https://otta.com/jobs?job=frontieratlas-0004,Mistral AI,2026-09-07T08:32:03.452618Z,True,Data,Data AI specialist 0004,2026-09-07T09:16:03.452655Z
1.0,JOB,Greenhouse AI Jobs,https://www.greenhouse.com/jobs?job=frontieratlas-0005,Scale AI,2026-09-07T08:21:03.452618Z,True,Design,Design AI specialist 0005,2026-09-07T09:16:03.452660Z
1.0,JOB,LinkedIn AI Jobs,https://www.linkedin.com/jobs/ai-jobs/?job=frontieratlas-0006,Perplexity,2026-09-07T08:10:03.452618Z,False,Go-to-market,Go-to-market AI specialist 0006,2026-09-07T09:16:03.452664Z
1.0,JOB,Wellfound AI Jobs,https://wellfound.com/jobs?job=frontieratlas-0007,OpenAI,2026-09-07T07:59:03.452618Z,True,Engineering,Engineering AI specialist 0007,2026-09-07T09:16:03.452672Z
1.0,JOB,AI Jobs,https://aijobs.net/?job=frontieratlas-0008,Anthropic,2026-09-07T07:48:03.452618Z,True,Research,Research AI specialist 0008,2026-09-07T09:16:03.452677Z
1.0,JOB,Otta AI,https://otta.com/jobs?job=frontieratlas-0009,Cohere,2026-09-07T07:37:03.452618Z,False,Product,Product AI specialist 0009,2026-09-07T09:16:03.452711Z
1.0,JOB,Greenhouse AI Jobs,https://www.greenhouse.com/jobs?job=frontieratlas-0010,Mistral AI,2026-09-07T07:26:03.452618Z,True,Data,Data AI specialist 0010,2026-09-07T09:16:03.452718Z
1.0,JOB,LinkedIn AI Jobs,https://www.linkedin.com/jobs/ai-jobs/?job=frontieratlas-0011,Scale AI,2026-09-07T07:15:03.452618Z,True,Design,Design AI specialist 0011,2026-09-07T09:16:03.452723Z
1.0,JOB,Wellfound AI Jobs,https://wellfound.com/jobs?job=frontieratlas-0012,Perplexity,2026-09-07T07:04:03.452618Z,False,Go-to-market,Go-to-market AI specialist 0012,2026-09-07T09:16:03.452729Z
1.0,JOB,AI Jobs,https://aijobs.net/?job=frontieratlas-0013,OpenAI,2026-09-07T06:53:03.452618Z,True,Engineering,Engineering AI specialist 0013,2026-09-07T09:16:03.452735Z
1.0,JOB,Otta AI,https://otta.com/jobs?job=frontieratlas-0014,Anthropic,2026-09-07T06:42:03.452618Z,True,Research,Research AI specialist 0014,2026-09-07T09:16:03.452740Z
1.0,JOB,Greenhouse AI Jobs,https://www.greenhouse.com/jobs?job=frontieratlas-0015,Cohere,2026-09-07T06:31:03.452618Z,False,Product,Product AI specialist 0015,2026-09-07T09:16:03.452744Z
1.0,JOB,LinkedIn AI Jobs,https://www.linkedin.com/jobs/ai-jobs/?job=frontieratlas-0016,Mistral AI,2026-09-07T06:20:03.452618Z,True,Data,Data AI specialist 0016,2026-09-07T09:16:03.452752Z
1.0,JOB,Wellfound AI Jobs,https://wellfound.com/jobs?job=frontieratlas-0017,Scale AI,2026-09-07T06:09:03.452618Z,True,Design,Design AI specialist 0017,2026-09-07T09:16:03.452756Z
1.0,JOB,AI Jobs,https://aijobs.net/?job=frontieratlas-0018,Perplexity,2026-09-07T05:58:03.452618Z,False,Go-to-market,Go-to-market AI specialist 0018,2026-09-07T09:16:03.452761Z
1.0,JOB,Otta AI,https://otta.com/jobs?job=frontieratlas-0019,OpenAI,2026-09-07T05:47:03.452618Z,True,Engineering,Engineering AI specialist 0019,2026-09-07T09:16:03.452766Z
1.0,JOB,Greenhouse AI Jobs,https://www.greenhouse.com/jobs?job=frontieratlas-0020,Anthropic,2026-09-07T05:36:03.452618Z,True,Research,Research AI specialist 0020,2026-09-07T09:16:03.452771Z
1.0,JOB,LinkedIn AI Jobs,https://www.linkedin.com/jobs/ai-jobs/?job=frontieratlas-0021,Cohere,2026-09-07T05:25:03.452618Z,False,Product,Product AI specialist 0021,2026-09-07T09:16:03.452775Z
1.0,JOB,Wellfound AI Jobs,https://wellfound.com/jobs?job=frontieratlas-0022,Mistral AI,2026-09-07T05:14:03.452618Z,True,Data,Data AI specialist 0022,2026-09-07T09:16:03.452780Z
1.0,JOB,AI Jobs,https://aijobs.net/?job=frontieratlas-0023,Scale AI,2026-09-07T05:03:03.452618Z,True,Design,Design AI specialist 0023,2026-09-07T09:16:03.452784Z
