schemaVersion,recordType,source.name,source.url,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0001: Language Models,"['Researcher 2', 'Researcher 3']",https://arxiv.org/abs/2601.00001,https://github.com/frontieratlas/paper-0001,37,2026-09-06T09:16:03.451621Z,2026-09-07T09:16:03.451645Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0002: Multimodal Learning,"['Researcher 3', 'Researcher 4']",https://arxiv.org/abs/2601.00002,https://github.com/frontieratlas/paper-0002,74,2026-09-05T09:16:03.451621Z,2026-09-07T09:16:03.451656Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0003: Robotics,"['Researcher 4', 'Researcher 5']",https://arxiv.org/abs/2601.00003,https://github.com/frontieratlas/paper-0003,111,2026-09-04T09:16:03.451621Z,2026-09-07T09:16:03.451663Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0004: Alignment,"['Researcher 5', 'Researcher 6']",https://arxiv.org/abs/2601.00004,https://github.com/frontieratlas/paper-0004,148,2026-09-03T09:16:03.451621Z,2026-09-07T09:16:03.451670Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0005: Computer Vision,"['Researcher 6', 'Researcher 7']",https://arxiv.org/abs/2601.00005,https://github.com/frontieratlas/paper-0005,185,2026-09-02T09:16:03.451621Z,2026-09-07T09:16:03.451677Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0006: Generative Modeling,"['Researcher 7', 'Researcher 8']",https://arxiv.org/abs/2601.00006,https://github.com/frontieratlas/paper-0006,222,2026-09-01T09:16:03.451621Z,2026-09-07T09:16:03.451707Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0007: Retrieval,"['Researcher 8', 'Researcher 9']",https://arxiv.org/abs/2601.00007,https://github.com/frontieratlas/paper-0007,259,2026-08-31T09:16:03.451621Z,2026-09-07T09:16:03.451716Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0008: Agents,"['Researcher 9', 'Researcher 10']",https://arxiv.org/abs/2601.00008,https://github.com/frontieratlas/paper-0008,296,2026-08-30T09:16:03.451621Z,2026-09-07T09:16:03.451727Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0009: Language Models,"['Researcher 10', 'Researcher 11']",https://arxiv.org/abs/2601.00009,https://github.com/frontieratlas/paper-0009,333,2026-08-29T09:16:03.451621Z,2026-09-07T09:16:03.451734Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0010: Multimodal Learning,"['Researcher 11', 'Researcher 12']",https://arxiv.org/abs/2601.00010,https://github.com/frontieratlas/paper-0010,370,2026-08-28T09:16:03.451621Z,2026-09-07T09:16:03.451741Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0011: Robotics,"['Researcher 12', 'Researcher 13']",https://arxiv.org/abs/2601.00011,https://github.com/frontieratlas/paper-0011,407,2026-08-27T09:16:03.451621Z,2026-09-07T09:16:03.451747Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0012: Alignment,"['Researcher 13', 'Researcher 14']",https://arxiv.org/abs/2601.00012,https://github.com/frontieratlas/paper-0012,444,2026-08-26T09:16:03.451621Z,2026-09-07T09:16:03.451753Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0013: Computer Vision,"['Researcher 14', 'Researcher 15']",https://arxiv.org/abs/2601.00013,https://github.com/frontieratlas/paper-0013,481,2026-08-25T09:16:03.451621Z,2026-09-07T09:16:03.451759Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0014: Generative Modeling,"['Researcher 15', 'Researcher 16']",https://arxiv.org/abs/2601.00014,https://github.com/frontieratlas/paper-0014,518,2026-08-24T09:16:03.451621Z,2026-09-07T09:16:03.451765Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0015: Retrieval,"['Researcher 16', 'Researcher 17']",https://arxiv.org/abs/2601.00015,https://github.com/frontieratlas/paper-0015,555,2026-08-23T09:16:03.451621Z,2026-09-07T09:16:03.451771Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0016: Agents,"['Researcher 17', 'Researcher 18']",https://arxiv.org/abs/2601.00016,https://github.com/frontieratlas/paper-0016,592,2026-08-22T09:16:03.451621Z,2026-09-07T09:16:03.451778Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0017: Language Models,"['Researcher 18', 'Researcher 19']",https://arxiv.org/abs/2601.00017,https://github.com/frontieratlas/paper-0017,629,2026-08-21T09:16:03.451621Z,2026-09-07T09:16:03.451784Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0018: Multimodal Learning,"['Researcher 19', 'Researcher 20']",https://arxiv.org/abs/2601.00018,https://github.com/frontieratlas/paper-0018,666,2026-08-20T09:16:03.451621Z,2026-09-07T09:16:03.451790Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0019: Robotics,"['Researcher 20', 'Researcher 21']",https://arxiv.org/abs/2601.00019,https://github.com/frontieratlas/paper-0019,703,2026-08-19T09:16:03.451621Z,2026-09-07T09:16:03.451798Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0020: Alignment,"['Researcher 21', 'Researcher 22']",https://arxiv.org/abs/2601.00020,https://github.com/frontieratlas/paper-0020,740,2026-08-18T09:16:03.451621Z,2026-09-07T09:16:03.451803Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0021: Computer Vision,"['Researcher 22', 'Researcher 23']",https://arxiv.org/abs/2601.00021,https://github.com/frontieratlas/paper-0021,777,2026-08-17T09:16:03.451621Z,2026-09-07T09:16:03.451809Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0022: Generative Modeling,"['Researcher 23', 'Researcher 24']",https://arxiv.org/abs/2601.00022,https://github.com/frontieratlas/paper-0022,814,2026-08-16T09:16:03.451621Z,2026-09-07T09:16:03.451814Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0023: Retrieval,"['Researcher 24', 'Researcher 25']",https://arxiv.org/abs/2601.00023,https://github.com/frontieratlas/paper-0023,851,2026-08-15T09:16:03.451621Z,2026-09-07T09:16:03.451822Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0024: Agents,"['Researcher 25', 'Researcher 26']",https://arxiv.org/abs/2601.00024,https://github.com/frontieratlas/paper-0024,888,2026-08-14T09:16:03.451621Z,2026-09-07T09:16:03.451828Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0025: Language Models,"['Researcher 26', 'Researcher 27']",https://arxiv.org/abs/2601.00025,https://github.com/frontieratlas/paper-0025,925,2026-08-13T09:16:03.451621Z,2026-09-07T09:16:03.452153Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0026: Multimodal Learning,"['Researcher 27', 'Researcher 28']",https://arxiv.org/abs/2601.00026,https://github.com/frontieratlas/paper-0026,962,2026-08-12T09:16:03.451621Z,2026-09-07T09:16:03.452160Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0027: Robotics,"['Researcher 28', 'Researcher 29']",https://arxiv.org/abs/2601.00027,https://github.com/frontieratlas/paper-0027,999,2026-08-11T09:16:03.451621Z,2026-09-07T09:16:03.452166Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0028: Alignment,"['Researcher 29', 'Researcher 30']",https://arxiv.org/abs/2601.00028,https://github.com/frontieratlas/paper-0028,1036,2026-08-10T09:16:03.451621Z,2026-09-07T09:16:03.452172Z
1.0,RESEARCH_PAPER,arXiv (deterministic assessment fixture),https://arxiv.org/,Frontier Study 0029: Computer Vision,"['Researcher 30', 'Researcher 31']",https://arxiv.org/abs/2601.00029,https://github.com/frontieratlas/paper-0029,1073,2026-08-09T09:16:03.451621Z,2026-09-07T09:16:03.452177Z
